prima input_files/Othello.txt:5
enter input_files/Othello.txt:81
rodorigo input_files/Othello.txt:39
iago input_files/Othello.txt:341
neuer input_files/Othello.txt:41
much input_files/Othello.txt:34
vnkindly input_files/Othello.txt:1
thou input_files/Othello.txt:142
hast input_files/Othello.txt:19
purse input_files/Othello.txt:11
y input_files/Othello.txt:1
strings input_files/Othello.txt:1
thine input_files/Othello.txt:10
shouldst input_files/Othello.txt:3
ia input_files/Othello.txt:5
youl input_files/Othello.txt:2
heare input_files/Othello.txt:23
euer input_files/Othello.txt:28
dream input_files/Othello.txt:1
matter input_files/Othello.txt:26
abhorre input_files/Othello.txt:3
rodo input_files/Othello.txt:14
toldst input_files/Othello.txt:2
didst input_files/Othello.txt:6
thy input_files/Othello.txt:87
hate input_files/Othello.txt:6
despise input_files/Othello.txt:2
greatones input_files/Othello.txt:2
cittie input_files/Othello.txt:1
personall input_files/Othello.txt:2
suite input_files/Othello.txt:8
lieutenant input_files/Othello.txt:30
offcapt input_files/Othello.txt:1
faith input_files/Othello.txt:7
man input_files/Othello.txt:48
price input_files/Othello.txt:2
am input_files/Othello.txt:92
worth input_files/Othello.txt:4
worsse input_files/Othello.txt:1
louing input_files/Othello.txt:4
owne input_files/Othello.txt:29
pride input_files/Othello.txt:4
purposes input_files/Othello.txt:3
euades input_files/Othello.txt:1
bumbast input_files/Othello.txt:1
circumstance input_files/Othello.txt:2
horribly input_files/Othello.txt:1
stufft input_files/Othello.txt:1
epithites input_files/Othello.txt:1
warre input_files/Othello.txt:6
nonsuites input_files/Othello.txt:1
mediators input_files/Othello.txt:1
certes input_files/Othello.txt:1
saies input_files/Othello.txt:4
haue input_files/Othello.txt:202
chose input_files/Othello.txt:2
officer input_files/Othello.txt:9
forsooth input_files/Othello.txt:1
arithmatician input_files/Othello.txt:1
michaell input_files/Othello.txt:3
cassio input_files/Othello.txt:184
florentine input_files/Othello.txt:2
fellow input_files/Othello.txt:8
almost input_files/Othello.txt:8
damnd input_files/Othello.txt:6
faire input_files/Othello.txt:22
wife input_files/Othello.txt:35
squadron input_files/Othello.txt:1
field input_files/Othello.txt:3
deuision input_files/Othello.txt:2
battaile input_files/Othello.txt:3
knowes input_files/Othello.txt:9
spinster input_files/Othello.txt:1
vnlesse input_files/Othello.txt:4
bookish input_files/Othello.txt:1
theoricke input_files/Othello.txt:1
wherein input_files/Othello.txt:6
tongued input_files/Othello.txt:1
consuls input_files/Othello.txt:2
propose input_files/Othello.txt:1
masterly input_files/Othello.txt:1
meere input_files/Othello.txt:4
pratle input_files/Othello.txt:1
practise input_files/Othello.txt:3
souldiership input_files/Othello.txt:1
sir input_files/Othello.txt:53
th input_files/Othello.txt:20
election input_files/Othello.txt:1
whom input_files/Othello.txt:10
eies input_files/Othello.txt:2
seene input_files/Othello.txt:13
proofe input_files/Othello.txt:7
rhodes input_files/Othello.txt:6
ciprus input_files/Othello.txt:1
others input_files/Othello.txt:6
grounds input_files/Othello.txt:2
christend input_files/Othello.txt:1
heathen input_files/Othello.txt:1
beleed input_files/Othello.txt:1
calmd input_files/Othello.txt:1
debitor input_files/Othello.txt:1
creditor input_files/Othello.txt:1
countercaster input_files/Othello.txt:1
blesse input_files/Othello.txt:4
marke input_files/Othello.txt:8
mooreships input_files/Othello.txt:1
auntient input_files/Othello.txt:1
rod input_files/Othello.txt:39
heauen input_files/Othello.txt:58
hangman input_files/Othello.txt:1
theres input_files/Othello.txt:15
remedie input_files/Othello.txt:1
tis input_files/Othello.txt:88
cursse input_files/Othello.txt:1
seruice input_files/Othello.txt:8
preferment input_files/Othello.txt:1
goes input_files/Othello.txt:4
