life input_files/MacBeth.txt:18
lose input_files/MacBeth.txt:3
whether input_files/MacBeth.txt:3
combind input_files/MacBeth.txt:1
those input_files/MacBeth.txt:25
line input_files/MacBeth.txt:4
hidden input_files/MacBeth.txt:1
both input_files/MacBeth.txt:20
labourd input_files/MacBeth.txt:1
countrys input_files/MacBeth.txt:4
wrack input_files/MacBeth.txt:2
treasons input_files/MacBeth.txt:2
capital input_files/MacBeth.txt:1
confessd input_files/MacBeth.txt:2
provd input_files/MacBeth.txt:1
overthrown input_files/MacBeth.txt:1
aside input_files/MacBeth.txt:7
greatest input_files/MacBeth.txt:2
behind input_files/MacBeth.txt:1
pains input_files/MacBeth.txt:4
gave input_files/MacBeth.txt:2
promisd input_files/MacBeth.txt:4
less input_files/MacBeth.txt:8
trusted input_files/MacBeth.txt:2
home input_files/MacBeth.txt:5
might input_files/MacBeth.txt:7
enkindle input_files/MacBeth.txt:1
unto input_files/MacBeth.txt:3
crown input_files/MacBeth.txt:6
besides input_files/MacBeth.txt:3
tis input_files/MacBeth.txt:36
oftentimes input_files/MacBeth.txt:1
win input_files/MacBeth.txt:4
harm input_files/MacBeth.txt:5
instruments input_files/MacBeth.txt:3
darkness input_files/MacBeth.txt:2
truths input_files/MacBeth.txt:2
honest input_files/MacBeth.txt:5
trifles input_files/MacBeth.txt:1
betrays input_files/MacBeth.txt:1
deepest input_files/MacBeth.txt:1
consequence input_files/MacBeth.txt:2
cousins input_files/MacBeth.txt:3
word input_files/MacBeth.txt:7
pray input_files/MacBeth.txt:12
told input_files/MacBeth.txt:2
prologues input_files/MacBeth.txt:1
swelling input_files/MacBeth.txt:1
imperial input_files/MacBeth.txt:2
themei input_files/MacBeth.txt:1
thank input_files/MacBeth.txt:4
supernatural input_files/MacBeth.txt:1
soliciting input_files/MacBeth.txt:1
given input_files/MacBeth.txt:9
commencing input_files/MacBeth.txt:1
yield input_files/MacBeth.txt:4
suggestion input_files/MacBeth.txt:1
whose input_files/MacBeth.txt:14
horrid input_files/MacBeth.txt:3
image input_files/MacBeth.txt:2
unfix input_files/MacBeth.txt:2
hair input_files/MacBeth.txt:3
seated input_files/MacBeth.txt:1
heart input_files/MacBeth.txt:22
knock input_files/MacBeth.txt:11
ribs input_files/MacBeth.txt:1
fears input_files/MacBeth.txt:8
horrible input_files/MacBeth.txt:3
imaginings input_files/MacBeth.txt:1
thought input_files/MacBeth.txt:14
